English,Kana,Romaji,Kanji,Tags
yes (polite),はい,hai,n/a,[polite]
yes,ええ,ee,n/a,[casual]
no problem,いいえ,iie,n/a,[polite]
no,いや,iya,n/a,[casual]
is regarding,は,wa,n/a,[particle]
on,に,ni,n/a,[particle]
and,と,to,n/a,[conjunction]
or,または,matawa,n/a,[conjunction]
but,でも,demo,n/a,[conjunction]
because,から,kara,n/a,[conjunction]
is,です,desu,n/a,[verb]
this,これ,kore,n/a,[pronoun]
that,それ,sore,n/a,[pronoun]
here,ここ,koko,n/a,[pronoun]
there,そこ,soko,n/a,[pronoun]
where,どこ,doko,n/a,[pronoun]
indeed,ほんとう,hontou,本当,[adverb]
excuse me,すみません,sumimasen,n/a,[expression]
please,ください,kudasai,n/a,[expression gratitude]
please (polite),おねがいします,onegaishimasu,n/a,[expression polite gratitude]
thank you,ありがとう,arigatou,n/a,[expression gratitude]
thank you (polite),ありがとうございます,arigatou gozaimasu,n/a,[expression polite gratitude]
thank you very much,どうもありがとう,doumo arigatou,n/a,[expression gratitude]
thanks,どうも,doumo,n/a,[expression casual gratitude]
you're welcome,どういたしまして,douitashimashite,n/a,[expression gratitude]
nice to meet you,はじめまして,hajimemashite,n/a,[expression]
nice to meet you,どうぞよろしく,douzoyoroshiku,n/a,[expression]
good afternoon,こんにちは,konnichiwa,n/a,[expression]
goodbye,さようなら,sayounara,n/a,[expression]
take care,きをつけて,ki wo tsukete,n/a,[expression]
good morning,おはようございます,ohayou gozaimasu,n/a,[expression]
good evening,こんばんは,konbanwa,n/a,[expression]
good night,おやすみなさい,oyasuminasai,n/a,[expression]
I am fine,げんきです,genki desu,n/a,[expression]
thank you (health),おかげさまで,okagesamade,n/a,[expression]
again,また,mata,n/a,[adverb]
now,いま,ima,n/a,[noun time]
today,きょう,kyou,n/a,[noun time]
tomorrow,あした,ashita,n/a,[noun time]
next week,らいしゅう,raishuu,n/a,[noun time]
next month,らいげつ,raigetsu,n/a,[noun time]
next year,らいねん,rainen,n/a,[noun time]
yesterday,きのう,kinou,n/a,[noun time]
last week,せんしゅう,senshuu,n/a,[noun time]
last month,せんげつ,sengetsu,n/a,[noun time]
last year,きょねん,kyonen,n/a,[noun time]
Mr.,さん,san,n/a,[noun title]
person,ひと,hito,人,[noun]
cool,かっこいい,kakkoii,格好いい,[adjective disposition]
kind,やさしい,yasashii,n/a,[adjective disposition]
cute,かわいい,kawaii,可愛い,[adjective]
small,ちいさい,chiisai,小さい,[adjective size]
big,おおきい,ookii,大きい,[adjective size]
delicious,おいしい,oishii,美味しい,[adjective food]
student,がくせい,gakusei,学生,[noun profession]
doctor,いしゃ,isha,医者,[noun profession]
lawyer,べんごし,bengoshi,弁護士,[noun profession]
teacher,せんせい,sensei,先生,[noun profession]
engineer,エンジニア,enjinia,n/a,[noun profession]
water,みず,mizu,水,[noun drink]
green tea,おちゃ,ocha,お茶,[noun drink]
coffee,コーヒー,koohii,n/a,[noun drink]
beer,ビール,biiru,n/a,[noun drink]
sake,さけ,sake,酒,[noun drink]
wine,ワイン,wain,n/a,[noun drink]
rice,ごはん,gohan,ご飯,[noun food]
noodles,めん,men,麺,[noun food]
ramen,ラーメン,raamen,n/a,[noun food]
sushi,すし,sushi,寿司,[noun food]
bread,パン,pan,n/a,[noun food]
egg,たまご,tamago,卵,[noun food]
pizza,ピザ,piza,n/a,[noun food]
cake,ケーキ,keeki,n/a,[noun food]
hamburger,ハンバーガー,hanbaagaa,n/a,[noun food]
curry,カレー,karee,n/a,[noun food]
university,だいがく,daigaku,大学,[noun location]
station,えき,eki,駅,[noun location]
department store,デパート,depaato,n/a,[noun location]
bus stop,バスてい,basutei,n/a,[noun location]
hotel,ホテル,hoteru,n/a,[noun location]
convenience store,コンビニ,konbini,n/a,[noun location]
Japan,にほん,nihon,日本,[noun country]
Japanese,にほんじん,nihonjin,日本人,[noun nationality country]
America,アメリカ,amerika,n/a,[noun country]
American,アメリカじん,amerikajin,n/a,[noun nationality country]
Brazil,ブラジル,burajiru,n/a,[noun country]
Brazilian,ブラジルじん,burajirujin,n/a,[noun nationality country]
