Romaji,Hiragana,Katakana,Tags
a,あ,ア,[base]
i,い,イ,[base]
u,う,ウ,[base]
e,え,エ,[base]
o,お,オ,[base]
ka,か,カ,[base k]
ki,き,キ,[base k]
ku,く,ク,[base k]
ke,け,ケ,[base k]
ko,こ,コ,[base k]
sa,さ,サ,[base s]
shi,し,シ,[base s sh]
su,す,ス,[base s]
se,せ,セ,[base s]
so,そ,ソ,[base s]
ta,た,タ,[base t]
chi,ち,チ,[base t ch]
tsu,つ,ツ,[base t]
te,て,テ,[base t]
to,と,ト,[base t]
na,な,ナ,[base n]
ni,に,ニ,[base n]
nu,ぬ,ヌ,[base n]
ne,ね,ネ,[base n]
no,の,ノ,[base n]
ha,は,ハ,[base h]
hi,ひ,ヒ,[base h]
fu,ふ,フ,[base h f]
he,へ,ヘ,[base h]
ho,ほ,ホ,[base h]
ma,ま,マ,[base m]
mi,み,ミ,[base m]
mu,む,ム,[base m]
me,め,メ,[base m]
mo,も,モ,[base m]
ya,や,ヤ,[base y]
yu,ゆ,ユ,[base y]
yo,よ,ヨ,[base y]
ra,ら,ラ,[base r]
ri,り,リ,[base r]
ru,る,ル,[base r]
re,れ,レ,[base r]
ro,ろ,ロ,[base r]
wa,わ,ワ,[base w]
wo,を,ヲ,[base w]
n,ん,ン,[base n]
ga,が,ガ,[dakuten k g]
gi,ぎ,ギ,[dakuten k g]
gu,ぐ,グ,[dakuten k g]
ge,げ,ゲ,[dakuten k g]
go,ご,ゴ,[dakuten k g]
za,ざ,ザ,[dakuten s z]
ji,じ,ジ,[dakuten s z j]
zu,ず,ズ,[dakuten s z]
ze,ぜ,ゼ,[dakuten s z]
zo,ぞ,ゾ,[dakuten s z]
da,だ,ダ,[dakuten t d]
ji,ぢ,ヂ,[dakuten t d j]
zu,づ,ヅ,[dakuten t d z]
de,で,デ,[dakuten t d]
do,ど,ド,[dakuten t d]
ba,ば,バ,[dakuten h b]
bi,び,ビ,[dakuten h b]
bu,ぶ,ブ,[dakuten h b]
be,べ,ベ,[dakuten h b]
bo,ぼ,ボ,[dakuten h b]
pa,ぱ,パ,[handakuten h p]
pi,ぴ,ピ,[handakuten h p]
pu,ぷ,プ,[handakuten h p]
pe,ぺ,ペ,[handakuten h p]
po,ぽ,ポ,[handakuten h p]
kya,きゃ,キャ,[yoon k]
kyu,きゅ,キュ,[yoon k]
kyo,きょ,キョ,[yoon k]
gya,ぎゃ,ギャ,[yoon k g]
gyu,ぎゅ,ギュ,[yoon k g]
gyo,ぎょ,ギョ,[yoon k g]
sha,しゃ,シャ,[yoon s sh]
shu,しゅ,シュ,[yoon s sh]
sho,しょ,ショ,[yoon s sh]
ja,じゃ,ジャ,[yoon s j]
ju,じゅ,ジュ,[yoon s j]
jo,じょ,ジョ,[yoon s j]
cha,ちゃ,チャ,[yoon t ch]
chu,ちゅ,チュ,[yoon t ch]
cho,ちょ,チョ,[yoon t ch]
nya,にゃ,ニャ,[yoon n]
nyu,にゅ,ニュ,[yoon n]
nyo,にょ,ニョ,[yoon n]
hya,ひゃ,ヒャ,[yoon h]
hyu,ひゅ,ヒュ,[yoon h]
hyo,ひょ,ヒョ,[yoon h]
bya,びゃ,ビャ,[yoon h b]
byu,びゅ,ビュ,[yoon h b]
byo,びょ,ビョ,[yoon h b]
pya,ぴゃ,ピャ,[yoon h p]
pyu,ぴゅ,ピュ,[yoon h p]
pyo,ぴょ,ピョ,[yoon h p]
mya,みゃ,ミャ,[yoon m]
myu,みゅ,ミュ,[yoon m]
myo,みょ,ミョ,[yoon m]
rya,りゃ,リャ,[yoon r]
ryu,りゅ,リュ,[yoon r]
ryo,りょ,リョ,[yoon r]
